"listingValue","product_name","product_url","product_features_name","product_features_Values_name","remove"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Finish","Gold","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Finish","Silver","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Finish","Space Gray","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Display","Retina display","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Display","13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Display","Supported scaled resolutions:
1680 by 1050
1440 by 900
1024 by 640","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Display","400 nits brightness","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Display","Wide color (P3)","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Display","True Tone technology","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Chip","Apple M1 chip
8-core CPU with 4 perform­ance cores and 4 efficiency cores
7-core GPU, 8-core GPU
16-core Neural Engine","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Battery and Power1","Up to 15 hours wireless web","1"
