"listingValue","product_name","product_url","product_Feature_name","product_Feature_value_name","remove"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Color","Silver","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Color","Space Gray","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Color","Sky Blue","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Color","Pink","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Color","Green","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Audio Technology","Apple-designed dynamic driver","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Audio Technology","Active Noise Cancellation","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Audio Technology","Transparency mode","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Audio Technology","Adaptive EQ","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Audio Technology","Spatial audio with dynamic head tracking1","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Sensors","Optical sensor (each ear cup)","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Sensors","Position sensor (each ear cup)","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Sensors","Case-detect sensor (each ear cup)","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Sensors","Accelerometer (each ear cup)","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Sensors","Gyroscope (left ear cup)","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Microphones","","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Chip","Apple H1 headphone chip (each ear cup)","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Controls","","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Size and Weight2","","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Battery","","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Connectivity","Bluetooth 5.0","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","In the Box","AirPods Max","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","In the Box","Smart Case","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","In the Box","Lightning to USB-C Cable","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","In the Box","Documentation","1"
"","AirPods Max - Technical Specifications","https://support.apple.com/kb/SP835?viewlocale=en_US&locale=en_US","Accessibility7","","1"
