Question,Answer
How do I set up my developer environment?,"There's no explicit sandbox or developer environment available to work against. Instead, you'll need to use a workspace you've created or are a member of.It's best to keep your integration or app's ownership contained within the workspace that is responsible for it.Start by building a Slack app to contain all of your work -- by default, it can only (& easily!) be installed on your own workspace. Follow the UI instructions to add features — most require that you provide a HTTP server Slack can reach.While developing for your own workspaces or if developing internal integrations, HTTPS will not be required for requests sent from Slack. This is for ease in getting started; we strongly recommend using HTTPS even for internal integrations.Many developers find using HTTP tunneling software effective while building apps. For one such story, consult this tutorial: Tunneling with ngrok."
"How are incoming webhooks, slash commands, and bot users different?","All three integration types allow you to post messages within a channel but differ in how those messages are triggered and how users interact with your app.You can use all of these integration types together in your Slack app.
Incoming webhooks - send messages to a channel at will by using a specific URL. Best used when activity that would incite posting a message occurs in a remote service.

Example: If you have an issue tracking system and want to post to a channel when a bug is created or resolved, use an incoming webhook invoked from your issue tracking system.


Slash commands - members execute slash commands from within Slack, resulting in us triggering your server to return them a  message. The message can either be displayed only to the executing user, or to the channel from which it was triggered.

Example: Your slash command allows users to create and resolve bugs from the Slack command line with either action resulting in a message being displayed to that channel.


Bot users - Your service monitors channels and direct messages for certain conversational triggers, like specific text in messages posted or emoji responses. As appropriate, your bot user posts messages or performs tasks inside or outside of Slack on a team's behalf.

Example: Your bot monitors a channel's messages for specific issue IDs and sends the channel a message containing details about them.
Example: Your bot tracks a team's emoji reactions and sends a message at the end of the day to celebrate those most used.


"
Is Slack down?,"Of course we want Slack fully functional for users and developers at all times. Here are some tips in the unfortunate event you're having trouble and need to determine exactly how broken Slack might be.When possible, we report on current status promptly through these channels:
Check status.slack.com for any service disruption advisories.
Follow @SlackStatus on Twitter for real time updates on system health.
Try these tips to further divine service health when these resources aren't convincing:
Send a simple HTTP GET to the https://slack.com/api/api.test API method. A HTTP 200 application/json response of {""ok"":true} indicates at least part of the Slack Web API is available.
Send a more complex, authenticated request to https://slack.com/api/auth.test using a bot, user, or legacy token. Using this method exercises the authorization and API layer further than api.test and may grant you the serenity of greater confidence in Slack availability.
Do you use RTM? Slack does. Try using rtm.connect to generate a websocket URL using a token with the proper permissions, then open the socket using a tool like this simple browser-based websocket client for Google Chrome.
Still unsure if Slack is down? Contact our enthusiastic support team."
How do I authenticate my requests to Slack?,"By tokenWhen working with Slack apps or Web API, you'll often need to send access tokens, also known as bearer tokens, along with inbound requests using the token query parameter.Some of the tokens you'll be given while going through the integration creation process. Other tokens you obtain by sending users through the OAuth 2.0 authentication flow.When you're working with Slack apps, you'll be awarded access tokens after a user approves your application.You can also obtain workspace-specific test tokens for use with the Web API using our token generator, but they should not be shared with the public or other workspaces.By private URLYour incoming webhooks URLs are unique for your integration or application and do not require token-based authentication. Slash command response URLs also already encode your integration or application's identity.Webhook URLs generated by rtm.start also encode the information you need to connect, though requesting rtm.start itself requires a token as described above."
How do I authenticate requests from Slack to me?,"Use the signing secret to compute a signature, and verify that the signature on the request matches.Note: This process is strongly preferred over the use of deprecated verification tokens.You can also use Mutual TLS. Mutual TLS verifies the identity of Slack in a TLS-terminating server, before a request reaches your application code."
How does Slack authenticate its requests to my servers?,"When you configure Outgoing webhooks, Slash commands and Message buttons, you specify a URL for Slack to send requests when qualifying conditions are met. Slack also provides you a token related to that integration.Slack sends that URL a JSON payload containing a token field. Compare that field to values you've received from Slack. See validating slash commands for more information."
When do authorization codes expire?,"Authorization codes must be exchanged for an access token within 10 minutes by calling oauth.access as part of the authorization flow. Otherwise, the authorization code will expire and you will need to ask the user to go through OAuth again."
How do I revoke a token?,"For workspace apps, use the apps.uninstall method to uninstall an app completely, revoking all tokens.If you want to dispose of a single OAuth access token, use auth.revoke. It works with tokens from Sign in with Slack as well as from Add to Slack.For classic Slack apps, revoking the last token associated between your application and a workspace effectively uninstalls the app for that workspace.Members and administrators can remove your app through their workspace administration interface.Though it's somewhat of a nuclear option, you also have the ability to revoke all tokens from your developer dashboard by selecting your application and using the Revoke all tokens button found there."
How do I reset my client secret?,"To reset your client secret, go to your developer dashboard, select the application you are concerned about, use the Change secret button found there.Don't forget to use your new secret when exchanging authorization codes for access tokens while authorizing users and workspaces with OAuth 2.0."
How long are token strings?,"Token strings could potentially be as long as 255 characters. Historically and typically, they've been shorter. Learn more."
